game_id,username,opponent,played_at,platform,color,result,opening,eco,game_duration,termination
b9d7a6b4-bfdd-11ef-87d0-3c618801000f,ahmedbdk,tophernut,2024-12-21T20:57:19+00:00,chess.com,black,win,,https://www.chess.com/openings/Kings-Pawn-Opening-1...e5,180,
2c4440b1-bfde-11ef-aa66-6dda8e01000f,ahmedbdk,koszmarenko,2024-12-21T21:02:10+00:00,chess.com,white,win,,https://www.chess.com/openings/Scandinavian-Defense-Mieses-Kotrc-Variation-3.Nc3-Qd8-4.Nf3,180,
efe5e29a-bfde-11ef-8893-df8f3801000f,ahmedbdk,Hugues29,2024-12-21T21:06:34+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Giuoco-Piano-Game-Giuoco-Pianissimo-Italian-Four-Knights-Canal-Variation,180,
770c461c-bfdf-11ef-a3b8-d3148b01000f,ahmedbdk,grongopnpnn,2024-12-21T21:08:55+00:00,chess.com,black,resigned,,https://www.chess.com/openings/English-Opening-Caro-Kann-Defensive-System...3.e3-Nf6-4.b3-e6-5.Bb2,180,
cbb8c252-bfdf-11ef-aa66-6dda8e01000f,ahmedbdk,ahsanshah666,2024-12-21T21:13:23+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Bishops-Opening-2...Nc6,180,
6bb57b91-bfe0-11ef-a3b8-d3148b01000f,ahmedbdk,bigcheckerguy,2024-12-21T21:14:29+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Alapin-Sicilian-Defense-2...Nc6-3.d4,180,
92775bf8-bfe0-11ef-9979-bfaef601000f,ahmedbdk,Orion319,2024-12-21T21:20:11+00:00,chess.com,black,win,,https://www.chess.com/openings/Petrovs-Defense-3.d3-Nc6,180,
7509add4-bfe1-11ef-a3b8-d3148b01000f,ahmedbdk,Maxenergetik,2024-12-21T21:26:40+00:00,chess.com,white,win,,https://www.chess.com/openings/Nimzowitsch-Defense-2.d4-e6-3.Nf3-d5-4.e5,180,
46f748e0-bfe2-11ef-9979-bfaef601000f,ahmedbdk,czurebeast,2024-12-21T21:30:12+00:00,chess.com,white,win,,https://www.chess.com/openings/French-Defense-Normal-Variation-2...b6-3.Nf3,180,
c45c4483-bfe2-11ef-9e6b-e5916601000f,ahmedbdk,ilovebigmountain,2024-12-21T21:32:26+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Scotch-Game-3...exd4-4.Nxd4-Nxd4-5.Qxd4,180,
1596567a-bfe3-11ef-a3b8-d3148b01000f,ahmedbdk,Invincible2024,2024-12-21T21:38:20+00:00,chess.com,white,timeout,,https://www.chess.com/openings/French-Defense-Knight-Variation,180,
